en,de,fr-FR,es,it,nl,pl,cs,hu,nn,da,fi,sv,pt-PT,el,ro,hr,sl,lt,lv,et,sk,is,bg,mt,ru,es-419,pt-BR,th,id,ms,tr,ja,zh-Hant,zh-Hans,fr-CA
D-Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mydlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUILA PRO AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Router,Router,Routeur,Router,Router,Router,,,,,,,,,,,,,,,,,,,,,Маршрутизатор,,Roteador,,,,ルーター,路由器,路由器,
Switch,Switch,Commutateur,Switch,Switch,Switch,,,,,,,,,,,,,,,,,,,,,Коммутатор,,Switch,,,,スイッチ,交換器,交换器,
Firmware,Firmware,Micrologiciel,Firmware,Firmware,Firmware,,,,,,,,,,,,,,,,,,,,,Прошивка,,Firmware,,,,ファームウェア,韌體,固件,
Cloud,Cloud,Cloud,Nube,Cloud,Cloud,,,,,,,,,,,,,,,,,,,,,Облако,,Nuvem,,,,クラウド,雲端,云,
Mesh Wi-Fi,Mesh-WLAN,Wi-Fi maillé,Wi-Fi de malla,Wi-Fi Mesh,Mesh Wi-Fi,,,,,,,,,,,,,,,,,,,,,Ячеистый Wi-Fi,,Wi-Fi em malha,,,,メッシュWi-Fi,網狀Wi-Fi,网状Wi-Fi,
VPN,VPN,VPN,VPN,VPN,VPN,,,,,,,,,,,,,,,,,,,,,VPN,,VPN,,,,VPN,虛擬私人網路,虚拟专用网络,
AI,KI,IA,IA,IA,AI,,,,,,,,,,,,,,,,,,,,,ИИ,,IA,,,,AI,人工智慧,人工智能,
Gigabit,Gigabit,Gigabit,Gigabit,Gigabit,Gigabit,,,,,,,,,,,,,,,,,,,,,Гигабит,,Gigabit,,,,ギガビット,十億位元,千兆位,
Smart Home,Smart Home,Maison Intelligente,Hogar Inteligente,Casa Intelligente,Smart Home,,,,,,,,,,,,,,,,,,,,,Умный дом,,Casa Inteligente,,,,スマートホーム,智慧家庭,智能家居,
Parental Controls,Kindersicherung,Contrôle parental,Controles parentales,Controllo parentale,Ouderlijk toezicht,,,,,,,,,,,,,,,,,,,,,Родительский контроль,,Controles parentais,,,,ペアレンタルコントロール,家長監護,家长控制,
Quality of Service,Dienstgüte,Qualité de Service,Calidad de servicio,Qualità del servizio,Quality of Service,,,,,,,,,,,,,,,,,,,,,Качество обслуживания,,Qualidade de Serviço,,,,サービス品質,服務品質,服务质量,
Plug and Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web interface,Weboberfläche,Interface Web,Interfaz web,Interfaccia web,Webinterface,,,,,,,,,,,,,,,,,,,,,Веб-интерфейс,,Interface da web,,,,ウェブインターフェース,網頁介面,网页界面,
Wi-Fi 6,WLAN 6,Wi-Fi 6,Wi-Fi 6,Wi-Fi 6,Wi-Fi 6,,,,,,,,,,,,,,,,,,,,,Wi-Fi 6,,Wi-Fi 6,,,,Wi-Fi 6,Wi-Fi 6,Wi-Fi 6,
WORLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,世世世界界界,
dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,狗狗,
